"stage","category","file_count","total_size_bytes","traceable_count","unresolved_count"
"stage1","configuration",6,31150,0,0
"stage1","description",1,4296,0,0
"stage1","generated_metadata",14,47786338,12,0
"stage1","raw_evidence",843,932820537,843,0
"stage1","reusable_code",3,33099,0,0
"stage1","script",16,51755,0,0
"stage1","test",1,32386,0,0
"stage1","validation_log",19,70161,19,0
"stage2","configuration",11,30533,0,0
"stage2","description",1,8192,0,0
"stage2","generated_data",11,1947494467,11,0
"stage2","generated_metadata",97,8614058,97,0
"stage2","raw_evidence",1992,22434114482,1992,0
"stage2","reusable_code",1,9522,0,0
"stage2","script",59,360393,0,0
"stage2","test",1,40120,0,0
"stage2","validation_log",13,181301,13,0
"stage3","configuration",1,1941,0,0
"stage3","generated_data",15,370737607,15,0
"stage3","generated_metadata",18,1330046,18,0
"stage3","generated_report",2,172375,2,0
"stage3","reusable_code",1,20594,0,0
"stage3","script",8,40772,0,0
"stage3","test",1,6490,0,0
"stage3","validation_log",3,14147,3,0
"stage4","configuration",1,1698,0,0
"stage4","description",1,2506,0,0
"stage4","generated_metadata",9,13791,9,0
"stage4","generated_report",1,5493,1,0
"stage4","reusable_code",1,3085,0,0
"stage4","script",5,18770,0,0
"stage4","test",1,3093,0,0
"stage4","validation_log",2,4012,2,0
"stage5","configuration",2,1967,0,0
"stage5","description",1,3941,0,0
"stage5","generated_data",8,1541543396,8,0
"stage5","generated_metadata",23,6071259,23,0
"stage5","generated_report",1,2085,1,0
"stage5","raw_evidence",78,82732449,78,0
"stage5","reusable_code",1,10729,0,0
"stage5","script",13,73481,0,0
"stage5","test",1,4020,0,0
"stage5","validation_log",1,3016,1,0
