"stage","category","file_count","total_size_bytes","traceable_count","unresolved_count"
"stage1","configuration",6,31150,0,0
"stage1","description",1,4296,0,0
"stage1","generated_metadata",14,47786338,12,0
"stage1","raw_evidence",843,932820537,843,0
"stage1","reusable_code",3,33099,0,0
"stage1","script",16,51755,0,0
"stage1","test",1,32386,0,0
"stage1","validation_log",19,70161,19,0
"stage2","configuration",9,29653,0,0
"stage2","description",1,7758,0,0
"stage2","generated_data",11,1947494467,11,0
"stage2","generated_metadata",97,8613988,97,0
"stage2","raw_evidence",1983,22354040499,1983,0
"stage2","reusable_code",1,9522,0,0
"stage2","script",59,356502,0,0
"stage2","test",1,37564,0,0
"stage2","validation_log",12,178443,12,0
"stage3","configuration",1,1941,0,0
"stage3","generated_data",15,370737607,15,0
"stage3","generated_metadata",18,1330041,18,0
"stage3","generated_report",2,172375,2,0
"stage3","reusable_code",1,20594,0,0
"stage3","script",8,40772,0,0
"stage3","test",1,6490,0,0
"stage3","validation_log",2,9425,2,0
