"work_item_id","acquisition_rank","ds_id","frozen_work_state","current_work_state","acquisition_state","screening_decision","provisional_tier","status_evidence_path","status_detail"
"REGISTER:DS06",1,"DS06","not_started","in_progress","acquired_and_record_screened","pending","A","metadata/stage2_ds06_smhi_shark_screening_summary.csv","Acquisition and initial record screening exist, but the per-dataset decision remains pending; this ranked item is not complete."
"REGISTER:DS26",2,"DS26","not_started","complete","acquired_and_record_screened","secondary","B","metadata/stage2_ds26_smhi_ifcb_screening_summary.csv","Acquisition and record screening are complete at the dataset level with decision 'secondary'."
"REGISTER:DS02",3,"DS02","not_started","in_progress","catalogue_archived_observations_pending","pending","C","metadata/stage2_ds02_rws_screening_summary.csv","The canonical provider catalogue is archived and screened, but no observation records are acquired; this ranked item is in progress and not complete."
"REGISTER:DS04",4,"DS04","not_started","not_started","not_started","not_assessed","not_assessed","","No per-dataset screening summary exists; canonical acquisition has not started under the tracked Stage 2 workflow."
"REGISTER:DS05",5,"DS05","not_started","not_started","not_started","not_assessed","not_assessed","","No per-dataset screening summary exists; canonical acquisition has not started under the tracked Stage 2 workflow."
"REGISTER:DS07",6,"DS07","not_started","not_started","not_started","not_assessed","not_assessed","","No per-dataset screening summary exists; canonical acquisition has not started under the tracked Stage 2 workflow."
"REGISTER:DS08",7,"DS08","not_started","not_started","not_started","not_assessed","not_assessed","","No per-dataset screening summary exists; canonical acquisition has not started under the tracked Stage 2 workflow."
"REGISTER:DS03",8,"DS03","not_started","not_started","not_started","not_assessed","not_assessed","","No per-dataset screening summary exists; canonical acquisition has not started under the tracked Stage 2 workflow."
"REGISTER:DS23",9,"DS23","not_started","not_started","not_started","not_assessed","not_assessed","","No per-dataset screening summary exists; canonical acquisition has not started under the tracked Stage 2 workflow."
"REGISTER:DS16",10,"DS16","not_started","not_started","not_started","not_assessed","not_assessed","","No per-dataset screening summary exists; canonical acquisition has not started under the tracked Stage 2 workflow."
"REGISTER:DS10",11,"DS10","not_started","not_started","not_started","not_assessed","not_assessed","","No per-dataset screening summary exists; canonical acquisition has not started under the tracked Stage 2 workflow."
"REGISTER:DS11",12,"DS11","not_started","not_started","not_started","not_assessed","not_assessed","","No per-dataset screening summary exists; canonical acquisition has not started under the tracked Stage 2 workflow."
"REGISTER:DS09",13,"DS09","not_started","not_started","not_started","not_assessed","not_assessed","","No per-dataset screening summary exists; canonical acquisition has not started under the tracked Stage 2 workflow."
"REGISTER:DS24",14,"DS24","not_started","not_started","not_started","not_assessed","not_assessed","","No per-dataset screening summary exists; canonical acquisition has not started under the tracked Stage 2 workflow."
"REGISTER:DS27",15,"DS27","not_started","not_started","not_started","not_assessed","not_assessed","","No per-dataset screening summary exists; canonical acquisition has not started under the tracked Stage 2 workflow."
"REGISTER:DS28",16,"DS28","not_started","not_started","not_started","not_assessed","not_assessed","","No per-dataset screening summary exists; canonical acquisition has not started under the tracked Stage 2 workflow."
"REGISTER:DS15",17,"DS15","not_started","not_started","not_started","not_assessed","not_assessed","","No per-dataset screening summary exists; canonical acquisition has not started under the tracked Stage 2 workflow."
"REGISTER:DS22",18,"DS22","not_started","not_started","not_started","not_assessed","not_assessed","","No per-dataset screening summary exists; canonical acquisition has not started under the tracked Stage 2 workflow."
"REGISTER:DS12",19,"DS12","not_started","not_started","not_started","not_assessed","not_assessed","","No per-dataset screening summary exists; canonical acquisition has not started under the tracked Stage 2 workflow."
